videoId,title,thumbnail_url,viewCount,view_bin
2Gda55I54m8,주식 단타야수의 세계에서 년간 생존한 비법,https://i.ytimg.com/vi/2Gda55I54m8/hqdefault.jpg,8728779,1000000~10000000
CUTR6_ZJPRU,주식지표 PER 완벽이해 분컷,https://i.ytimg.com/vi/CUTR6_ZJPRU/hqdefault.jpg,8209203,1000000~10000000
RUxR9FLmcno,주식 트레이더 모니터 대의 비밀,https://i.ytimg.com/vi/RUxR9FLmcno/hqdefault.jpg,6778379,1000000~10000000
Bpls7wOyg6E,주식을 매수하면 안 되는 시간이 있다,https://i.ytimg.com/vi/Bpls7wOyg6E/hqdefault.jpg,6227624,1000000~10000000
gLzRFxoAHmE,삼성전자 주식 사놓고 까먹은 레전드 할아버지,https://i.ytimg.com/vi/gLzRFxoAHmE/hqdefault.jpg,7358625,1000000~10000000
Hayps5OhrZc,나스닥 신고가에 억 롱 배팅,https://i.ytimg.com/vi/Hayps5OhrZc/hqdefault.jpg,2955005,1000000~10000000
Xn3rtYF0Dss,주식 하락장 대처법,https://i.ytimg.com/vi/Xn3rtYF0Dss/hqdefault.jpg,2841823,1000000~10000000
wabAszev4ak,만 원 단타로 하루에 만 원을,https://i.ytimg.com/vi/wabAszev4ak/hqdefault.jpg,2627146,1000000~10000000
nP_7wbj8LPY,개월 전 이재명 코스피 비하하던 국힘당,https://i.ytimg.com/vi/nP_7wbj8LPY/hqdefault.jpg,4074270,1000000~10000000
IWKf5gD47jw,주식으로 돈 버는 방법,https://i.ytimg.com/vi/IWKf5gD47jw/hqdefault.jpg,2408079,1000000~10000000
50y3ckhkggo,차전지 주식 실적 이때부터 터진다 한국 돈 축제 시작이다 선대인 소장,https://i.ytimg.com/vi/50y3ckhkggo/hqdefault.jpg,2885520,1000000~10000000
Ox0Ub_BeLrg,ISA와 IRP 쉽게 구분하는 방법경제 유튜버 슈카유민상의 배고픈 라디오,https://i.ytimg.com/vi/Ox0Ub_BeLrg/hqdefault.jpg,2538708,1000000~10000000
2y1ctrq0jmQ,배당주 억원 투자자가 밝힌 가장 큰 수익 본 주식 가지,https://i.ytimg.com/vi/2y1ctrq0jmQ/hqdefault.jpg,2229366,1000000~10000000
op7kW3892VE,삼성전자 주식 지금 당장 빨리 사야 하는 이유 박세익 대표,https://i.ytimg.com/vi/op7kW3892VE/hqdefault.jpg,2280386,1000000~10000000
9ILCi4HWn-o,단타 잘 안 되시는 분들 이거 꼭 보세요 확률 아주 높은 단타기법 알려드립니다 분주식,https://i.ytimg.com/vi/9ILCi4HWn-o/hqdefault.jpg,2012749,1000000~10000000
irGYt5Ouhao,SP 딱 이만큼만 사두세요 은퇴 후 평생 놀고먹을 수 있습니다 김경록 sp,https://i.ytimg.com/vi/irGYt5Ouhao/hqdefault.jpg,2832622,1000000~10000000
5N0jh7wDssI,찰리 멍거 주식으로 부자되려면 걍 닥치고 이것만 해라 shorts,https://i.ytimg.com/vi/5N0jh7wDssI/hqdefault.jpg,1968364,1000000~10000000
H7DXet_74jo,주식 부자들이 세금 안 내는 방법,https://i.ytimg.com/vi/H7DXet_74jo/hqdefault.jpg,4135685,1000000~10000000
n327BLDY2Ao,미국주식 손절 해야할까,https://i.ytimg.com/vi/n327BLDY2Ao/hqdefault.jpg,1969375,1000000~10000000
xn2UPJwpURE,오세훈 미국 주식 대박안철수 재산은 억 shorts,https://i.ytimg.com/vi/xn2UPJwpURE/hqdefault.jpg,2162559,1000000~10000000
I5nsCczX9BI,슈카님 채권 사봤어요,https://i.ytimg.com/vi/I5nsCczX9BI/hqdefault.jpg,2237645,1000000~10000000
RsoOGYyBMO4,그가 상따를 했습니다,https://i.ytimg.com/vi/RsoOGYyBMO4/hqdefault.jpg,1704424,1000000~10000000
K2nMluaMsY0,미쳐버린 주식 방송사고 대참사 주식 주식투자 재테크,https://i.ytimg.com/vi/K2nMluaMsY0/hqdefault.jpg,3360821,1000000~10000000
PfBDxDKboNo,이재명 효과 주식 불기둥 시장은 지주사에 베팅 중 박시동,https://i.ytimg.com/vi/PfBDxDKboNo/hqdefault.jpg,2842139,1000000~10000000
cA1q-ETU4vc,매월 배당금으로 만원 만드는 방법,https://i.ytimg.com/vi/cA1q-ETU4vc/hqdefault.jpg,1673186,1000000~10000000
lbbIh-YFD60,년 전 테슬라 천만원으로 시작해 은퇴한 남자 정체,https://i.ytimg.com/vi/lbbIh-YFD60/hqdefault.jpg,2565581,1000000~10000000
sQWNN5fHx6g,억 단타,https://i.ytimg.com/vi/sQWNN5fHx6g/hqdefault.jpg,1609037,1000000~10000000
roKoKO-eW7U,주식으로 돈을 잃어본적이 없는 투자자의 비결jpg,https://i.ytimg.com/vi/roKoKO-eW7U/hqdefault.jpg,2148854,1000000~10000000
kG5sQoRoWEA,주식 환불 안돼요,https://i.ytimg.com/vi/kG5sQoRoWEA/hqdefault.jpg,2498151,1000000~10000000
CmW_VUcJHJg,테슬라 주식 샀습니다,https://i.ytimg.com/vi/CmW_VUcJHJg/hqdefault.jpg,1426122,1000000~10000000
4Wk-nDk53a0,주식 단타 치는 방법 우아한인생,https://i.ytimg.com/vi/4Wk-nDk53a0/hqdefault.jpg,1597336,1000000~10000000
GNcsUZ7R7AU,전직 트레이더가 말해주는 주식이 어려운 이유,https://i.ytimg.com/vi/GNcsUZ7R7AU/hqdefault.jpg,1258018,1000000~10000000
mKOkiulXe-8,주식 단타 아무나 할 수 없는 이유,https://i.ytimg.com/vi/mKOkiulXe-8/hqdefault.jpg,2109033,1000000~10000000
RDEO7tKznSM,주식으로 돈 번 사람들의 유일한 공통점은 현직 애널리스트피셜 Feat이광수 메보라Shorts,https://i.ytimg.com/vi/RDEO7tKznSM/hqdefault.jpg,1302027,1000000~10000000
sPBfPCIySxg,차트 잘 보는 방법 분도 안 걸립니다,https://i.ytimg.com/vi/sPBfPCIySxg/hqdefault.jpg,1080955,1000000~10000000
Dd4fgEIesTI,니니의 차트 강의 모르면 외우세요,https://i.ytimg.com/vi/Dd4fgEIesTI/hqdefault.jpg,1351115,1000000~10000000
GvJOSP5cUCs,곧 증시 조정 올 겁니다 이때 주식 많이 사세요 박세익 대표,https://i.ytimg.com/vi/GvJOSP5cUCs/hqdefault.jpg,1105701,1000000~10000000
7XrXad1YMeA,삼성전자 이 가격 오면 잡으세요,https://i.ytimg.com/vi/7XrXad1YMeA/hqdefault.jpg,1074252,1000000~10000000
oiXqjFeGX_s,년 미국 주식이 앞으로 진짜 무서운 이유 성상현 부부장shorts,https://i.ytimg.com/vi/oiXqjFeGX_s/hqdefault.jpg,1097555,1000000~10000000
bfG46_Lnfgs,SP에 투자해서 억을 만드는 방법,https://i.ytimg.com/vi/bfG46_Lnfgs/hqdefault.jpg,1010538,1000000~10000000
OcaTuFNz07k,단타로 억 번 세 할아버지의 매매법,https://i.ytimg.com/vi/OcaTuFNz07k/hqdefault.jpg,1755867,1000000~10000000
4uyVJcuXT88,주식투자로 돈 꼬라박은 사람들 꼭 보세요 일침영상 동기부여,https://i.ytimg.com/vi/4uyVJcuXT88/hqdefault.jpg,901036,500000~1000000
6evwASRVysw,코인판 대 레전드 사건 코인 비트코인 shorts 차트 주식,https://i.ytimg.com/vi/6evwASRVysw/hqdefault.jpg,1001801,1000000~10000000
Cpdon5nC62E,주식 천재가 말한 무조건 이기는 방법,https://i.ytimg.com/vi/Cpdon5nC62E/hqdefault.jpg,1480325,1000000~10000000
N21Sj8qBxEc,나 이런개그 좋아했네 웃긴영상 박호산 미국주식,https://i.ytimg.com/vi/N21Sj8qBxEc/hqdefault.jpg,1754263,1000000~10000000
iGZDaJ14hZs,환율 전쟁이 시작됐다 이 자산 꼭 사모으세요 오건영 단장,https://i.ytimg.com/vi/iGZDaJ14hZs/hqdefault.jpg,1260749,1000000~10000000
kumQltqrSDg,조 천억 날린 주식 레전드 사건,https://i.ytimg.com/vi/kumQltqrSDg/hqdefault.jpg,1256932,1000000~10000000
o8vsRCfDzWg,년 전 만원 투자한 엔비디아 지금은 얼마가 됐을까,https://i.ytimg.com/vi/o8vsRCfDzWg/hqdefault.jpg,871758,500000~1000000
Bpv8ZG6udTw,오뚜기 년간 매달 만원씩 투자 했다면,https://i.ytimg.com/vi/Bpv8ZG6udTw/hqdefault.jpg,1717049,1000000~10000000
kVec57YvaH0,토스증권에서 유명한 억 슈퍼개미 결말,https://i.ytimg.com/vi/kVec57YvaH0/hqdefault.jpg,1590032,1000000~10000000
MJZTjzn8snY,곧 증시 조정이 올 겁니다 이때 주식을 많이 사세요 김영익 교수,https://i.ytimg.com/vi/MJZTjzn8snY/hqdefault.jpg,775711,500000~1000000
W1N1-kXc16M,미국주식 유튜버 추천 명,https://i.ytimg.com/vi/W1N1-kXc16M/hqdefault.jpg,1646456,1000000~10000000
u5mn6103Qo0,워렌버핏을 까버린 주식투자자의 최후,https://i.ytimg.com/vi/u5mn6103Qo0/hqdefault.jpg,1402935,1000000~10000000
hWxwfX07xks,월급날 이 주식 꼭 사세요 천만 원 수십 억 될겁니다 곽수종 박사,https://i.ytimg.com/vi/hWxwfX07xks/hqdefault.jpg,877278,500000~1000000
m6iy3Lx170Y,주식 년 전 일본과 지금 미국의 소름 돋는 평행이론 당장 달러 확인하세요,https://i.ytimg.com/vi/m6iy3Lx170Y/hqdefault.jpg,1479929,1000000~10000000
LqOspxuk72I,제의 테슬라가 될 수 있는 달러 미만 미국주식 종,https://i.ytimg.com/vi/LqOspxuk72I/hqdefault.jpg,1236980,1000000~10000000
W4jipfPzDw8,워런버핏의 주식 싸게 사는 법,https://i.ytimg.com/vi/W4jipfPzDw8/hqdefault.jpg,1962726,1000000~10000000
epJiJiwIcKI,자 따라해봐 쌀 때 사서,https://i.ytimg.com/vi/epJiJiwIcKI/hqdefault.jpg,1292706,1000000~10000000
I5dKSvTElTg,대출 갚지 말고 그 돈으로 미국 주식을 사세요,https://i.ytimg.com/vi/I5dKSvTElTg/hqdefault.jpg,683993,500000~1000000
C1byGpTP7AU,shorts,https://i.ytimg.com/vi/C1byGpTP7AU/hqdefault.jpg,811749,500000~1000000
fwO5Okod-9Q,천으로 주식 시작해 억 번 슈퍼개미 근황,https://i.ytimg.com/vi/fwO5Okod-9Q/hqdefault.jpg,1162741,1000000~10000000
nWjqJrMNwus,당신이 몰랐던 주식 손절하는 법 뉴스공장 김어준 이광수 겸손은힘들다 주식,https://i.ytimg.com/vi/nWjqJrMNwus/hqdefault.jpg,1280863,1000000~10000000
ggPvBs2ch6U,신의 경지에 오른 주식 유튜버,https://i.ytimg.com/vi/ggPvBs2ch6U/hqdefault.jpg,657421,500000~1000000
0YafnkO65pY,년동안 SP 풀매수를 했다면,https://i.ytimg.com/vi/0YafnkO65pY/hqdefault.jpg,647444,500000~1000000
i97dYdf-wzQ,약 년 동안 연금저축펀드에서 ETF만 계속 샀더니,https://i.ytimg.com/vi/i97dYdf-wzQ/hqdefault.jpg,1086974,1000000~10000000
QbOcN_SxL8s,미국 주식에서 하락장 번 겪은 개미 최후,https://i.ytimg.com/vi/QbOcN_SxL8s/hqdefault.jpg,733591,500000~1000000
-sVFELROIGg,삼성전자 주식 투자 레전드 할아버지,https://i.ytimg.com/vi/-sVFELROIGg/hqdefault.jpg,1235544,1000000~10000000
EckRsaxzQ2c,주식 단타 만 원 넘게 번 연예인 매매법 주식 단타,https://i.ytimg.com/vi/EckRsaxzQ2c/hqdefault.jpg,584470,500000~1000000
oomF8CWAvBQ,주식으로 월배당 만원 받는법 경제적자유,https://i.ytimg.com/vi/oomF8CWAvBQ/hqdefault.jpg,1100367,1000000~10000000
nRmq2TKWFCE,주식기초 제강 코스피 시대 주주가 되어야 하는 이유 주식투자 김어준 뉴스공장 이광수대표,https://i.ytimg.com/vi/nRmq2TKWFCE/hqdefault.jpg,1073922,1000000~10000000
6z2WNaiQ6mQ,삼성전자 주 배당금이 들어왔습니다,https://i.ytimg.com/vi/6z2WNaiQ6mQ/hqdefault.jpg,1219934,1000000~10000000
Fq-Xnj462Ts,세력들이 매집하는 핵심 패턴 딱 개만 알려드립니다 출발전에 탑승하세요,https://i.ytimg.com/vi/Fq-Xnj462Ts/hqdefault.jpg,518734,500000~1000000
St9LQ033SLc,바닥이 나왔다고 알려주는 캔들 패턴 주식 주식공부 주식강의,https://i.ytimg.com/vi/St9LQ033SLc/hqdefault.jpg,530181,500000~1000000
SSpBltKQbJE,이 주식 싸도 너무 싸요 로봇 대장주가 될 겁니다 로봇주,https://i.ytimg.com/vi/SSpBltKQbJE/hqdefault.jpg,633179,500000~1000000
3iwv_MwoTfk,주식은 가지만 기억해라 주식 투자 재테크,https://i.ytimg.com/vi/3iwv_MwoTfk/hqdefault.jpg,717364,500000~1000000
rUxXEs6BxZE,해외 주식 양도소득세 만원 한도까지 절세하는 꿀팁,https://i.ytimg.com/vi/rUxXEs6BxZE/hqdefault.jpg,556045,500000~1000000
2IeZ5A-xJKc,안 살 수가 없는 한국 주식,https://i.ytimg.com/vi/2IeZ5A-xJKc/hqdefault.jpg,965838,500000~1000000
R7z1u-Pcuo4,주식에 미친 아줌마 년 현재 근황,https://i.ytimg.com/vi/R7z1u-Pcuo4/hqdefault.jpg,825060,500000~1000000
HXC8Zo8GYrQ,구글 주식 매수해야 할까,https://i.ytimg.com/vi/HXC8Zo8GYrQ/hqdefault.jpg,491819,100000~500000
lL7MlelBOHM,지금 딱 개만 산다면 단연코 이 주식입니다 엄경아 조선주,https://i.ytimg.com/vi/lL7MlelBOHM/hqdefault.jpg,593556,500000~1000000
y28BagI0Flg,주식 절대 매수하면 안되는 시간,https://i.ytimg.com/vi/y28BagI0Flg/hqdefault.jpg,662923,500000~1000000
8Nr1A8DgBYM,주식할 때 반드시 외워야 할 필수 패턴 가지,https://i.ytimg.com/vi/8Nr1A8DgBYM/hqdefault.jpg,698883,500000~1000000
hizktr6tzQM,미국 주식 억 몰빵,https://i.ytimg.com/vi/hizktr6tzQM/hqdefault.jpg,518304,500000~1000000
88u006myTfU,김용만이 박승대에게 연락 안하는 이유 주식 박승대 shorts,https://i.ytimg.com/vi/88u006myTfU/hqdefault.jpg,466561,100000~500000
fnCNyk4VOh8,손이 미끄러져서 억어치 주식 산 대학생 단타 주식 투자,https://i.ytimg.com/vi/fnCNyk4VOh8/hqdefault.jpg,691373,500000~1000000
uC8sHKFxAyc,만 달러 주식 매도 무슨 일이 있었나,https://i.ytimg.com/vi/uC8sHKFxAyc/hqdefault.jpg,23810,10000~100000
VAu69K1MohU,외국인들은 다 사가는 올해 세계의 최고 수익율은 주식투자 주식 금리 수익률 윤지호 와이스트릿,https://i.ytimg.com/vi/VAu69K1MohU/hqdefault.jpg,21964,10000~100000
8zfZRmudHJw,년까지 떡상하는 주식 TOP 떡상 주식투자,https://i.ytimg.com/vi/8zfZRmudHJw/hqdefault.jpg,168655,100000~500000
CbXbU8nJv0o,주식 년 차가 알려주는 매물 소화의 진실,https://i.ytimg.com/vi/CbXbU8nJv0o/hqdefault.jpg,75688,10000~100000
I2KVyIi_vuo,주식 하다가 돈 잃으면 수업료라고 하는 이유 주식 투자 깨달음,https://i.ytimg.com/vi/I2KVyIi_vuo/hqdefault.jpg,309277,100000~500000
c7jav-tot8M,평생 가져가도 되는 주식 TOP과 기준,https://i.ytimg.com/vi/c7jav-tot8M/hqdefault.jpg,334114,100000~500000
bQYkbsX1xRU,주식 고수가 되는 법 년이면 충분하다,https://i.ytimg.com/vi/bQYkbsX1xRU/hqdefault.jpg,58217,10000~100000
RaufyYGWvXU,요즘 살 주식 수익률 근황 미미미누 생활과경제,https://i.ytimg.com/vi/RaufyYGWvXU/hqdefault.jpg,341274,100000~500000
6I8JLByL6JA,주식 투자를 안하는 이유 shorts,https://i.ytimg.com/vi/6I8JLByL6JA/hqdefault.jpg,174978,100000~500000
PatLrTz0ceY,회사에서 주식 얘기 꺼내면 안되는 이유 좋좋소 중소기업 썰풀기,https://i.ytimg.com/vi/PatLrTz0ceY/hqdefault.jpg,478940,100000~500000
yDZ-FRftgpQ,미국주식 투자일기 soxl 주식퀸 주린이공부 비트코인 btc crypto 코인방법 무트코인 bitcoin nft,https://i.ytimg.com/vi/yDZ-FRftgpQ/hqdefault.jpg,1253,1000~10000
tuIK57ulPzw,테슬라 주가 수익중 TSLA 미국주식,https://i.ytimg.com/vi/tuIK57ulPzw/hqdefault.jpg,1002,1000~10000
-hn-_PC0Kdg,토 미국주식일지 경제적자유 미국성장주 미국주식개별투자 economy 분산투자 주식투자 미국주식 소수점투자 직장인투자 미국주식일지,https://i.ytimg.com/vi/-hn-_PC0Kdg/hqdefault.jpg,1423,1000~10000
yh33htTHmG0,팔란티어 주가 폭락해도 여전히 가장 비싼 주식,https://i.ytimg.com/vi/yh33htTHmG0/hqdefault.jpg,838,0~1000
UKdV4a6lvgI,년 월 일 미국마감시황 시황 주식 마감시황 투자 주린이,https://i.ytimg.com/vi/UKdV4a6lvgI/hqdefault.jpg,938,0~1000
jRYIAyzIAwM,이재명 정부의 수립 이재명 정부의 출발 만으로도 한국주식시장 상승 중 뉴욕증권거래소 대한민국투자서밋 주식 이재명정부 한국주식시장 대통령 이재명,https://i.ytimg.com/vi/jRYIAyzIAwM/hqdefault.jpg,914,0~1000
c56VjK27kN4,회사자금 억원 주식에 몰빵한 상남자 주식 사건사고 사건 사고 주식투자 삼성전자 동진쎄미켐,https://i.ytimg.com/vi/c56VjK27kN4/hqdefault.jpg,4887,1000~10000
HpyXtvVVLC0,주식일기 오늘은 시험봤습니다 하하힘드네요 주식장도 조용하구 미국주식 주린이공부 비트코인 배당성장주 미국성장주,https://i.ytimg.com/vi/HpyXtvVVLC0/hqdefault.jpg,1203,1000~10000
EdZgPYmuFEk,주식 계좌 위기 오면 아무것도 못 합니다,https://i.ytimg.com/vi/EdZgPYmuFEk/hqdefault.jpg,2755,1000~10000
FPKBvUT59-s,앞으로 나이 물어보면 대답하는 방법 미미 핑계고 미국주식,https://i.ytimg.com/vi/FPKBvUT59-s/hqdefault.jpg,9127,1000~10000
CbFP4mwPUqU,조급함과 욕심을 버리지 못하면 주식투자로 경제적 자유를 얻을 수 없다,https://i.ytimg.com/vi/CbFP4mwPUqU/hqdefault.jpg,3704,1000~10000
2HveYzaj0Ks,외국인까지 주식 버블 버스 탑승 shorts,https://i.ytimg.com/vi/2HveYzaj0Ks/hqdefault.jpg,22170,10000~100000
2wUIeCzso00,한국주식미국주식 폭락은 기회다,https://i.ytimg.com/vi/2wUIeCzso00/hqdefault.jpg,1913,1000~10000
5zX9o25KEEI,저점매수하기 딱 지금 들어가야지 한화오션주가전망주식단타주식추천급등주주식정보주식초보종목추천주린이주식강의주식기초주식공부삼성전자SK하이닉스이재명정책주코스피,https://i.ytimg.com/vi/5zX9o25KEEI/hqdefault.jpg,1733,1000~10000
Q5CsBBJsqWI,서로 암살 개그 난무하는 남매 조나단 파트리샤 미국주식,https://i.ytimg.com/vi/Q5CsBBJsqWI/hqdefault.jpg,177563,100000~500000
1WZrGaUjjcQ,주식으로 난 수익 세금 얼마나 낼까 국내 vs 해외,https://i.ytimg.com/vi/1WZrGaUjjcQ/hqdefault.jpg,4263,1000~10000
Kl-kMFv3hXA,전형적인 T의 모습나오는 송승헌 엄정화 뚠뚠 미국주식,https://i.ytimg.com/vi/Kl-kMFv3hXA/hqdefault.jpg,11868,10000~100000
-OePOAEfExc,한국인이 많이 매수하는 미국 주식 년동안 얼마나 상승했을까요 과연 수익률은 테슬라 구글 마이크로소프트 tsla google msft 나스닥 미국주식,https://i.ytimg.com/vi/-OePOAEfExc/hqdefault.jpg,1605,1000~10000
n8dyIRvdZic,주식시장에서 살아남기,https://i.ytimg.com/vi/n8dyIRvdZic/hqdefault.jpg,1368,1000~10000
8-xUWF7tUIk,신의한수 주식은 생각의 노동이다 shorts,https://i.ytimg.com/vi/8-xUWF7tUIk/hqdefault.jpg,2883,1000~10000
cqzk4xl5Jwo,두 명의 개미가 주식을 했을 때 생기는 일,https://i.ytimg.com/vi/cqzk4xl5Jwo/hqdefault.jpg,27186,10000~100000
p0k8gEL4Hek,금융의 중심에서 대한민국을 외치다국격국뽕주식이재명뉴욕증권거래소대한민국,https://i.ytimg.com/vi/p0k8gEL4Hek/hqdefault.jpg,2,0~1000
fwYui1XRDWg,이 주식은 상당히 저평가된 주식 피에스케이 short 이종복,https://i.ytimg.com/vi/fwYui1XRDWg/hqdefault.jpg,4326,1000~10000
AhBXGfPxjgY,주식 엔비디아 손절한 중국이 미국 AI를 거의 다 따라잡은 방법,https://i.ytimg.com/vi/AhBXGfPxjgY/hqdefault.jpg,88039,10000~100000
WpiK-Ufz8W4,패턴분석노력많이 수익으로 가는 지름길입니다년 월 일,https://i.ytimg.com/vi/WpiK-Ufz8W4/hqdefault.jpg,1821,1000~10000
BPn4M2N8_9M,노을 유상증자의 해석 삐뽀삐뽀 주식,https://i.ytimg.com/vi/BPn4M2N8_9M/hqdefault.jpg,1153,1000~10000
u30fbhus8fM,대통령 너스레 떨며 제대로 한국주식시장 홍보 능청 이재명,https://i.ytimg.com/vi/u30fbhus8fM/hqdefault.jpg,182891,100000~500000
LAB-v2xbbxs,초보자를 위한 ETF 시리즈 ETF의 기본 개념 나스닥 주식 미국성장주 주린이공부 투자 주식투자의신 미국주식 etf 미국주식,https://i.ytimg.com/vi/LAB-v2xbbxs/hqdefault.jpg,8594,1000~10000
oWd2ilnUi2M,내 돈 어디갔죠 대 투자 현실 주식 코인 업비트 재테크 투자,https://i.ytimg.com/vi/oWd2ilnUi2M/hqdefault.jpg,1730,1000~10000
lZb7kF8wnrg,진짜 보이스피싱 전화받은 수지 라디오스타 이수지 미국주식,https://i.ytimg.com/vi/lZb7kF8wnrg/hqdefault.jpg,19031,10000~100000
YWprK8NJCMc,이재명 정권 반미 캠패인 미국 여행 제품 주식 보이콧 본색 들어낸다 휘둘려선 안된다 서정욱TV,https://i.ytimg.com/vi/YWprK8NJCMc/hqdefault.jpg,29489,10000~100000
hSlnamGJu0U,주식 투자 잘 하려면 부동산 투자하듯 긴 호흡으로,https://i.ytimg.com/vi/hSlnamGJu0U/hqdefault.jpg,12941,10000~100000
s3s3XHAOiBo,치솟는 금값 주식 비트코인 스테이블코인 아파트고분양가 이 모든 것이 가리키는 단 하나는 바로 쓰레기가 되어가는 현금이다,https://i.ytimg.com/vi/s3s3XHAOiBo/hqdefault.jpg,1357,1000~10000
WF0sKA-GtoU,주식초보 필독 매매스타일 부터 정해라 주식투자 워런버핏 재테크 노후준비 가치투자 주식초보 투자실패 자산관리 투자마인드 단타 스윙트레이더 장기투자 투자전략,https://i.ytimg.com/vi/WF0sKA-GtoU/hqdefault.jpg,13988,10000~100000
nY-MIISc8Yo,엔비디아가 백지수표 써준 회사 투자 주식 미국주식 코어위브 월일,https://i.ytimg.com/vi/nY-MIISc8Yo/hqdefault.jpg,1506,1000~10000
uSKlbtyLtKA,세 여자 실시간 주식코인 계좌공개오클로 실화냐,https://i.ytimg.com/vi/uSKlbtyLtKA/hqdefault.jpg,1949,1000~10000
EVz4aLcCjs8,주식 감성 노래,https://i.ytimg.com/vi/EVz4aLcCjs8/hqdefault.jpg,281,0~1000
NmS1MPkfM6c,대 직장인 투자 손실 중 주식 국장 미장 지엔씨에너지 태성 직장인투자,https://i.ytimg.com/vi/NmS1MPkfM6c/hqdefault.jpg,2185,1000~10000
4lbF1bpw3Vs,SP vs 나스닥 어디에 투자해야할까 SP 나스닥 주식초보,https://i.ytimg.com/vi/4lbF1bpw3Vs/hqdefault.jpg,57308,10000~100000
0rU4Vj_AURY,AI 미국주식 마이크론 데이터센터 삼성전자 DRAM 반도체,https://i.ytimg.com/vi/0rU4Vj_AURY/hqdefault.jpg,915,0~1000
qQY6VbjDH3Y,주식 차트 안 보고 단타로 억 수익,https://i.ytimg.com/vi/qQY6VbjDH3Y/hqdefault.jpg,13306,10000~100000
soZccDS08Go,역대급 빨간약을 먹어버린 미국주식 투자자들 근황,https://i.ytimg.com/vi/soZccDS08Go/hqdefault.jpg,694844,500000~1000000
_w0a1xwonVs,주식 단타로 억 꿈꾸는 백수의 최후,https://i.ytimg.com/vi/_w0a1xwonVs/hqdefault.jpg,608062,500000~1000000
UpYkaBZ1fMM,만원으로 주식 시작해 억 번 한국인 근황,https://i.ytimg.com/vi/UpYkaBZ1fMM/hqdefault.jpg,157630,100000~500000
a9xYIF3_tG8,인범이의 주식코인 관점 공유,https://i.ytimg.com/vi/a9xYIF3_tG8/hqdefault.jpg,259021,100000~500000
D5Cd-Cpi_ds,비자금 만들어 주식 투자한 남편 아내 남편에게 배신감 들어 KNN,https://i.ytimg.com/vi/D5Cd-Cpi_ds/hqdefault.jpg,539476,500000~1000000
E0dwNQpgzMk,이 자리만 피하면 주식 상위 바로 가능,https://i.ytimg.com/vi/E0dwNQpgzMk/hqdefault.jpg,57701,10000~100000
RcknE_p3R6I,파월 등장에 억 숏 배팅,https://i.ytimg.com/vi/RcknE_p3R6I/hqdefault.jpg,8933025,1000000~10000000
Kv6dyA1u0bM,비트코인의 무서움 shorts 비트코인 주식,https://i.ytimg.com/vi/Kv6dyA1u0bM/hqdefault.jpg,5004671,1000000~10000000
GiWkatGWOKg,코인 사기꾼이 절대 알려주지 않는 코인 사기 원리,https://i.ytimg.com/vi/GiWkatGWOKg/hqdefault.jpg,4052515,1000000~10000000
